symbol,name,datetime,price
TSLA:NASDAQ,Tesla Inc,2019-01-25,297.040009
TSLA:NASDAQ,Tesla Inc,2019-01-28,296.380005
TSLA:NASDAQ,Tesla Inc,2019-01-29,297.459991
TSLA:NASDAQ,Tesla Inc,2019-01-30,308.769989
TSLA:NASDAQ,Tesla Inc,2019-01-31,307.019989
TSLA:NASDAQ,Tesla Inc,2019-02-01,312.209991
TSLA:NASDAQ,Tesla Inc,2019-02-04,312.890015
TSLA:NASDAQ,Tesla Inc,2019-02-05,321.350006
TSLA:NASDAQ,Tesla Inc,2019-02-06,317.22000099999997
TSLA:NASDAQ,Tesla Inc,2019-02-07,307.51001
TSLA:NASDAQ,Tesla Inc,2019-02-08,305.799988
TSLA:NASDAQ,Tesla Inc,2019-02-11,312.839996
TSLA:NASDAQ,Tesla Inc,2019-02-12,311.809998
TSLA:NASDAQ,Tesla Inc,2019-02-13,308.170013
TSLA:NASDAQ,Tesla Inc,2019-02-14,303.769989
TSLA:NASDAQ,Tesla Inc,2019-02-15,307.880005
TSLA:NASDAQ,Tesla Inc,2019-02-19,305.640015
TSLA:NASDAQ,Tesla Inc,2019-02-20,302.559998
TSLA:NASDAQ,Tesla Inc,2019-02-21,291.230011
TSLA:NASDAQ,Tesla Inc,2019-02-22,294.709991
TSLA:NASDAQ,Tesla Inc,2019-02-25,298.769989
TSLA:NASDAQ,Tesla Inc,2019-02-26,297.859985
TSLA:NASDAQ,Tesla Inc,2019-02-27,314.73999
TSLA:NASDAQ,Tesla Inc,2019-02-28,319.880005
TSLA:NASDAQ,Tesla Inc,2019-03-01,294.790009
TSLA:NASDAQ,Tesla Inc,2019-03-04,285.359985
TSLA:NASDAQ,Tesla Inc,2019-03-05,276.540009
TSLA:NASDAQ,Tesla Inc,2019-03-06,276.23999
TSLA:NASDAQ,Tesla Inc,2019-03-07,276.589996
TSLA:NASDAQ,Tesla Inc,2019-03-08,284.140015
TSLA:NASDAQ,Tesla Inc,2019-03-11,290.920013
TSLA:NASDAQ,Tesla Inc,2019-03-12,283.359985
TSLA:NASDAQ,Tesla Inc,2019-03-13,288.959991
TSLA:NASDAQ,Tesla Inc,2019-03-14,289.959991
TSLA:NASDAQ,Tesla Inc,2019-03-15,275.429993
TSLA:NASDAQ,Tesla Inc,2019-03-18,269.48999
TSLA:NASDAQ,Tesla Inc,2019-03-19,267.47000099999997
